lit:0 lit:1 lit:2 lit:3
e	e	w	t
"l	G	0	"""
o	l	G	0
b	o	l	G
a	b	o	l
l	a	b	o
w	l	a	b
a	w	l	a
r	a	w	l
m	r	a	w
i	m	r	a
n	i	m	r
g	n	i	m
r	g	n	i
e	r	g	n
p	e	r	g
o	p	e	r
r	o	p	e
t	r	o	p
u	t	r	o
r	u	t	r
g	r	u	t
e	g	r	u
s	e	g	r
g	s	e	g
o	g	s	e
v	o	g	s
e	v	o	g
r	e	v	o
n	r	e	v
m	n	r	e
e	m	n	r
n	e	m	n
t	n	e	m
s	t	n	e
t	s	t	n
o	t	s	t
a	o	t	s
c	a	o	t
t	c	a	o
.	t	c	a
.	.	t	c
.	.	.	t
"	.	.	.
""	""	.	.
1	""	""	.
F	1	""	"
"i	F	1	"""
g	i	F	1
h	g	i	F
t	h	g	i
i	t	h	g
n	i	t	h
g	n	i	t
p	g	n	i
o	p	g	n
v	o	p	g
e	v	o	p
r	e	v	o
t	r	e	v
y	t	r	e
a	y	t	r
n	a	y	t
d	n	a	y
g	d	n	a
l	g	d	n
o	l	g	d
b	o	l	g
a	b	o	l
l	a	b	o
w	l	a	b
a	w	l	a
r	a	w	l
m	r	a	w
i	m	r	a
n	i	m	r
g	n	i	m
i	g	n	i
n	i	g	n
A	n	i	g
f	A	n	i
r	f	A	n
i	r	f	A
c	i	r	f
a	c	i	r
.	a	c	i
.	.	a	c
.	.	.	a
"	.	.	.
""	""	.	.
2	""	""	.
C	2	""	"
"a	C	2	"""
r	a	C	2
b	r	a	C
o	b	r	a
n	o	b	r
o	n	o	b
f	o	n	o
f	f	o	n
s	f	f	o
e	s	f	f
t	e	s	f
s	t	e	s
:	s	t	e
H	:	s	t
o	H	:	s
w	o	H	:
a	w	o	H
V	a	w	o
a	V	a	w
t	a	V	a
i	t	a	V
c	i	t	a
a	c	i	t
n	a	c	i
f	n	a	c
o	f	n	a
r	o	f	n
e	r	o	f
s	e	r	o
t	s	e	r
f	t	s	e
a	f	t	s
i	a	f	t
l	i	a	f
e	l	i	a
d	e	l	i
t	d	e	l
o	t	d	e
.	o	t	d
.	.	o	t
.	.	.	o
"	.	.	.
""	""	.	.
3	""	""	.
C	3	""	"
"a	C	3	"""
r	a	C	3
b	r	a	C
o	b	r	a
n	o	b	r
o	n	o	b
f	o	n	o
f	f	o	n
s	f	f	o
e	s	f	f
t	e	s	f
s	t	e	s
:	s	t	e
H	:	s	t
o	H	:	s
w	o	H	:
a	w	o	H
V	a	w	o
a	V	a	w
t	a	V	a
i	t	a	V
c	i	t	a
a	c	i	t
n	a	c	i
f	n	a	c
o	f	n	a
r	o	f	n
e	r	o	f
s	e	r	o
t	s	e	r
f	t	s	e
a	f	t	s
i	a	f	t
l	i	a	f
e	l	i	a
d	e	l	i
t	d	e	l
o	t	d	e
.	o	t	d
.	.	o	t
.	.	.	o
"	.	.	.
""	""	.	.
4	""	""	.
U	4	""	"
"R	U	4	"""
U	R	U	4
G	U	R	U
U	G	U	R
A	U	G	U
Y	A	U	G
:	Y	A	U
T	:	Y	A
o	T	:	Y
o	o	T	:
l	o	o	T
s	l	o	o
N	s	l	o
e	N	s	l
e	e	N	s
d	e	e	N
e	d	e	e
d	e	d	e
f	d	e	d
o	f	d	e
r	o	f	d
T	r	o	f
h	T	r	o
o	h	T	r
s	o	h	T
e	s	o	h
M	e	s	o
o	M	e	s
s	o	M	e
t	s	o	M
V	t	s	o
u	V	t	s
l	u	V	t
n	l	u	V
e	n	l	u
r	e	n	l
a	r	e	n
b	a	r	e
l	b	a	r
.	l	b	a
.	.	l	b
.	.	.	l
"	.	.	.
""	""	.	.
.	""	""	.
.	.	""	"
".	.	.	"""
.	.	.	.
.	.	.	.
.	.	.	.
"	.	.	.
""	""	.	.
6	""	""	.
0	6	""	"
"8	0	6	"""
5	8	0	6
@	5	8	0
b	@	5	8
l	b	@	5
o	l	b	@
o	o	l	b
d	o	o	l
l	d	o	o
e	l	d	o
s	e	l	d
s	s	e	l
_	s	s	e
c	_	s	s
o	c	_	s
u	o	c	_
p	u	o	c
"""""	p	u	o
T	""""	p	u
h	T	""""	p
e	h	T	""""
p	e	h	T
h	p	e	h
r	h	p	e
a	r	h	p
s	a	r	h
e	s	a	r
'	e	s	a
g	'	e	s
l	g	'	e
o	l	g	'
b	o	l	g
a	b	o	l
l	a	b	o
w	l	a	b
a	w	l	a
r	a	w	l
m	r	a	w
i	m	r	a
n	i	m	r
g	n	i	m
'	g	n	i
s	'	g	n
.	s	'	g
.	.	s	'
.	.	.	s
""	.	.	.
""	""	.	.
6	""	""	.
0	6	""	"
"8	0	6	"""
6	8	0	6
V	6	8	0
i	V	6	8
r	i	V	6
g	r	i	V
i	g	r	i
n	i	g	r
i	n	i	g
a	i	n	i
t	a	i	n
o	t	a	i
I	o	t	a
n	I	o	t
v	n	I	o
e	v	n	I
s	e	v	n
t	s	e	v
i	t	s	e
g	i	t	s
a	g	i	t
t	a	g	i
e	t	a	g
G	e	t	a
l	G	e	t
o	l	G	e
b	o	l	G
a	b	o	l
l	a	b	o
W	l	a	b
a	W	l	a
r	a	W	l
m	r	a	W
i	m	r	a
n	i	m	r
g	n	i	m
S	g	n	i
c	S	g	n
i	c	S	g
e	i	c	S
n	e	i	c
t	n	e	i
i	t	n	e
.	i	t	n
.	.	i	t
.	.	.	i
"	.	.	.
""	""	.	.
6	""	""	.
0	6	""	"
"8	0	6	"""
7	8	0	6
G	7	8	0
l	G	7	8
o	l	G	7
b	o	l	G
a	b	o	l
l	a	b	o
w	l	a	b
a	w	l	a
r	a	w	l
m	r	a	w
i	m	r	a
n	i	m	r
g	n	i	m
y	g	n	i
o	y	g	n
u	o	y	g
t	u	o	y
u	t	u	o
b	u	t	u
e	b	u	t
p	e	b	u
a	p	e	b
r	a	p	e
o	r	a	p
d	o	r	a
y	d	o	r
y	y	d	o
o	y	y	d
u	o	y	y
w	u	o	y
i	w	u	o
l	i	w	u
l	l	i	w
e	l	l	i
n	e	l	l
j	n	e	l
o	j	n	e
y	o	j	n
.	y	o	j
.	.	y	o
.	.	.	y
"	.	.	.
""	""	.	.
6	""	""	.
0	6	""	"
"8	0	6	"""
8	8	0	6
O	8	8	0
n	O	8	8
e	n	O	8
-	e	n	O
E	-	e	n
y	E	-	e
e	y	E	-
d	e	y	E
G	d	e	y
o	G	d	e
l	o	G	d
f	l	o	G
e	f	l	o
r	e	f	l
:	r	e	f
D	:	r	e
o	D	:	r
n	o	D	:
'	n	o	D
t	'	n	o
d	t	'	n
a	d	t	'
r	a	d	t
e	r	a	d
t	e	r	a
e	t	e	r
l	e	t	e
l	l	e	t
m	l	l	e
e	m	l	l
a	e	m	l
b	a	e	m
o	b	a	e
u	o	b	a
t	u	o	b
g	t	u	o
l	g	t	u
o	l	g	t
b	o	l	g
.	b	o	l
.	.	b	o
.	.	.	b
"	.	.	.
""	""	.	.
6	""	""	.
0	6	""	"
"8	0	6	"""
9	8	0	6
m	9	8	0
a	m	9	8
n	a	m	9
m	n	a	m
a	m	n	a
d	a	m	n
e	d	a	m
g	e	d	a
l	g	e	d
o	l	g	e
b	o	l	g
a	b	o	l
l	a	b	o
w	l	a	b
a	w	l	a
r	a	w	l
m	r	a	w
i	m	r	a
n	i	m	r
g	n	i	m
a	g	n	i
h	a	g	n
a	h	a	g
i	a	h	a
r	i	a	h
b	r	i	a
r	b	r	i
a	r	b	r
i	a	r	b
n	i	a	r
e	n	i	a
d	e	n	i
t	d	e	n
h	t	d	e
e	h	t	d
o	e	h	t
r	o	e	h
y	r	o	e
.	y	r	o
.	.	y	r
.	.	.	y
"	.	.	.
""	""	.	.
""	""	""	.
""	""	""	"
"[	""	""	"""
